trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.9, 'e': 0.36137190870047303}",30,22,1.6026309293010264,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.35600161767135236}",25,15,-25.19102596257525,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.9, 'e': 0.35075015373817836}",30,16,-31.963433117294663,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.9, 'e': 0.34561403690674214}",20,4,14.63430118559761,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.34058991365109226}",25,18,-1.667745896361421,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.33567455143809843}",20,10,0.9583116244833034,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.3308648335266013}",20,9,8.191978947808238,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.32615775402552205}",30,0,-79.76791134410836,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.32155041319630184}",25,0,-79.19299064734005,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
143,False,"{'a': 0.9, 'e': 0.31704001298596046}",30,2,35.074395429917104,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.31262385277792626}",20,0,-7.725876241087217,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.9, 'e': 0.30829932534858784}",20,9,13.008777864758567,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.30406391301826224}",20,0,-7.688593949909778,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.9, 'e': 0.2999151839859702}",20,10,-6.131606597644721,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.2958507888380541}",20,2,5.348275752987748,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.29186845722127946}",20,9,3.5854872929567247,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.2879659946716226}",20,8,-41.027052933802466,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.9, 'e': 0.28414127959047425}",25,14,-26.135165686768303,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.2803922603604779}",20,11,18.72070490427074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.2767169525936832}",25,10,28.45623643778758,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.27311343650512165}",20,9,-21.541921835976773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.9, 'e': 0.26957985440531357}",25,13,-41.14713414892217,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
156,False,"{'a': 0.9, 'e': 0.2661144083055917}",20,8,10.49323229823463,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.26271535763047693}",25,11,24.539943536034777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.25938101703167216}",25,11,11.240094572757986,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.2561097542985474}",25,5,17.431655823502165,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.2528999883602793}",20,0,6.550903746916005,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.9, 'e': 0.2497501873750793}",20,10,12.519806305158673,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.2466588669021983}",25,10,-35.218770720785585,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.24362458815263485}",30,4,14.061284061943502,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.24064595631469834}",25,0,-68.74472735324736,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
165,False,"{'a': 0.9, 'e': 0.2377216189507881}",20,16,6.227509279724514,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.2348502644619481}",25,15,5.662569830112572,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.23203062061694246}",20,2,7.265077306640217,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.2292614531427713}",25,17,12.964090240010421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.22654156437371187}",30,17,-14.763574609484007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.9, 'e': 0.223869791956124}",20,14,11.635273311798612,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.221245007606404}",35,26,17.871015122166174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.21866611591961}",25,3,28.83599691637113,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.21613205322640905}",30,20,10.581212368920157,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.21364178649611978}",20,11,19.842324548437855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.21119431228373753}",20,16,9.266917469132428,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.20878865571893834}",20,11,-21.44985281277054,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.20642386953516068}",30,20,-36.848783548904876,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.9, 'e': 0.20409903313695812}",20,13,10.150295072327292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.2018132517039096}",20,6,-12.772528851023063,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.1995656553294585}",25,1,2.6607629754879576,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.19735539819313266}",20,8,-20.294112493081837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
